series,ubpr_code,group,regression_type,treated_post,std_err,t_stat,p_value,lower_CI,upper_CI
brokered_deposits_to_total_deposits,UBPRE595,placebo,DID,5.4190,3.8772,1.3977,0.1629,-2.1996,13.038
brokered_deposits_to_total_deposits,UBPRE595,placebo,SDID,-0.6583,2.118e-16,-3.108e+15,0.0000,-0.6583,-0.6583
loans_to_individuals,UBPRE424,real,DID,-3.5872,3.9943,-0.8981,0.3696,-11.436,4.2614
loans_to_individuals,UBPRE424,real,SDID,-8.4354,8.755e-16,-9.635e+15,0.0000,-8.4354,-8.4354
loans_to_individuals,UBPRE424,placebo,DID,3.5642,3.3100,1.0768,0.2821,-2.9399,10.068
loans_to_individuals,UBPRE424,placebo,SDID,0.3675,8.848e-18,4.154e+16,0.0000,0.3675,0.3675
non_interest_expense_average_assets,UBPRE005,real,DID,0.1087,0.3096,0.3512,0.7256,-0.4996,0.7170
non_interest_expense_average_assets,UBPRE005,real,SDID,0.0415,6.834e-17,6.067e+14,0.0000,0.0415,0.0415
non_interest_expense_average_assets,UBPRE005,placebo,DID,-0.0956,0.2552,-0.3746,0.7081,-0.5971,0.4059
non_interest_expense_average_assets,UBPRE005,placebo,SDID,-0.0659,1.662e-16,-3.964e+14,0.0000,-0.0659,-0.0659
noninterest_income_average_assets,UBPRE004,real,DID,-0.3618,0.2495,-1.4500,0.1477,-0.8520,0.1285
noninterest_income_average_assets,UBPRE004,real,SDID,-0.7785,7.847e-17,-9.922e+15,0.0000,-0.7785,-0.7785
noninterest_income_average_assets,UBPRE004,placebo,DID,0.4837,0.2003,2.4152,0.0161,0.0902,0.8772
noninterest_income_average_assets,UBPRE004,placebo,SDID,0.1035,7.508e-17,1.378e+15,0.0000,0.1035,0.1035
net_non_core_funding_dependence,UBPRK447,real,DID,-5.3648,4.5448,-1.1804,0.2384,-14.295,3.5656
net_non_core_funding_dependence,UBPRK447,real,SDID,-5.2212,1.892e-15,-2.76e+15,0.0000,-5.2212,-5.2212
net_non_core_funding_dependence,UBPRK447,placebo,DID,3.9003,4.4204,0.8823,0.3780,-4.7857,12.586
net_non_core_funding_dependence,UBPRK447,placebo,SDID,-0.7984,8.005e-16,-9.974e+14,0.0000,-0.7984,-0.7984 
