treated,post,treated_post,return_on_equity,tier_1_leverage_capital_ratio,tier_1_risk_based_capital_ratio,total_risk_based_capital_ratio,brokered_deposits_to_total_deposits,net_non_core_funding_dependence,core_deposits_as_of_total_assets,short_term_investments_as_of_total_assets,1_4_family_residential_loans,loans_to_individuals,commercial_industrial_loans,non_interest_expense_average_assets,efficiency_ratio,return_on_average_assets,net_interest_margin,noninterest_income_average_assets,CATE
1,0,0,0.3161739297913428,-0.3894288281148566,-1.1099530425802877,-0.6539167889246111,-0.4293752040350103,-0.49021665020502614,1.1653659895298145,-1.0230101100797941,1.087957080838848,-0.36468811271659374,0.21324038120331965,-0.09968531522605416,0.510030467612602,-0.28560711818238255,0.06841948297435502,-0.34271285822926784,0.1980800014095123
0,0,0,2.72519351783695,-0.03833755302685114,-0.2406424825999275,0.3804606771925,1.609960687387728,1.3995879831232825,-1.0593325909155171,-0.3899406814702756,-1.84916116327143,2.698592153097572,-1.9696103645438914,0.33372007403370846,-1.8315572411173002,1.7003360138153425,2.834868310365231,-0.271547517219432,1.9152618934459364
1,0,0,-1.190502878152026,-0.03833755302685114,-0.2406424825999275,-0.13672805586605488,-0.5207581034734469,0.1392637291022629,0.18841114690813024,-0.8902130823248563,-0.737889353423749,0.7279811932114926,-0.7247508392910017,1.3251349019654148,1.282455167057849,-0.727973597821686,1.4169185975812046,0.1452780515524637,0.5559490720223949
1,0,0,-0.2687548769723203,-1.0916113782908665,-0.2406424825999275,-0.13672805586605488,-0.623499329395757,0.7546546558763202,-0.9140536590244809,1.170600052094364,1.2776441629562616,-0.8253830583313604,-0.4561324082133878,-0.11593801732329514,1.2328928074082146,-0.6244410174805723,-1.1759037343667298,0.13511157426534437,-1.2679233033195714
1,0,0,-0.5293392742983122,0.3127537220611538,0.19401279739025323,0.8976494102510563,-0.38239303539716996,-0.5570279251206733,0.9083693979883924,-0.9323708689137253,1.1667768272894632,-0.6885749723771701,-0.03364516710102441,-0.19720152780950057,0.2753106134228236,-0.2950191709406654,0.01633153434147223,-0.31221342636790966,0.1980800014095123
1,0,0,-0.435085343350613,-0.03833755302685114,-0.6752977625901077,-0.13672805586605488,-0.5476050569807842,-0.5352119986176048,0.9373332356755298,-0.9014551587485546,0.006134407027660469,-0.3201626464217917,0.5227166318946804,-0.02383937210559566,0.6905122678461767,-0.35149148749036374,-0.11099456231668511,-0.21054865349671556,-1.2679233033195714
0,0,0,0.07915301520227568,-0.7405201032028615,-1.1099530425802877,-1.1711055219831674,-0.5316001423898716,-0.5302125154606516,0.6840145917769188,-0.49111936928356165,1.782610230876136,-0.44943012921315256,-0.2935704450693305,0.10618224467233295,-0.21002645559906888,-0.05971785198358899,0.2941339270501795,-0.0038302819919542454,-1.2679233033195714
0,0,0,-0.49607318102265363,-0.03833755302685114,1.0633233573706136,1.4148381433096124,-0.2724237835305768,2.011342922146828,-1.4073583866165125,0.33236272875234896,0.10141102361631572,0.16099965063494048,-0.15621862594226565,-0.3109704424901884,0.0667746473498334,-0.39855175128177905,0.1494451808477278,-0.4918211917736858,0.5559490720223949
0,0,0,-0.6596314729613083,-0.3894288281148566,0.19401279739025323,0.3804606771925,-0.4087237013370585,-0.4015894487863103,0.5424136075286936,-0.49955092660133543,2.3404115134497188,-0.529863229616666,0.05067841805926202,-0.1213555846890423,0.8233019861527447,-0.4832602261063266,-0.44088490365827515,-0.13938331248687966,-1.2679233033195714
1,0,0,-0.23964704535611894,-0.3894288281148566,-1.5446083225704685,-1.1711055219831674,-0.48874827429162165,-0.4852171670480729,0.9869855288534789,-1.0117680336560957,0.29369655891342056,-0.5707979325005968,-0.15013341876575012,-0.13760828678628328,-0.20254534470855817,-0.11619016853328737,0.3288592261387679,-0.2647698656946857,0.1980800014095123
